Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"Kazmir, S.",250,44,22-May,OAK,@,TBR,L2-5,GS-6,L(2-3),4,5.2,8,3,2,3,4,1,0,3.09,27,106,64,11,10,10,10,4,2,0,44,,,2,0,0,23,1,1,0,1,0,1,1.25,-0.165,-0.49,7.15,7.67,1b start tie,6b --3 2 out  d2
"Kazmir, S.",251,49,27-May,OAK,,DET,L2-3,GS-3,,4,3,0,0,0,3,4,0,0,2.93,12,47,28,3,6,4,1,1,0,0,60,,,0,0,0,9,0,0,0,0,0,0,1.22,0.152,1.46,14.75,7,1t start tie,3t 3 out tie
"Kazmir, S.",252,57,5-Jun,OAK,@,BOS,L2-4,GS-5,L(2-4),8,4.2,9,4,3,1,4,0,0,3.14,23,77,51,17,6,7,11,6,0,0,35,,,1,0,0,21,3,0,0,1,1,0,0.81,-0.193,-1.93,1.7,5.67,1b start tie,5b 1-3 2 out  d3
"Kazmir, S.",253,62,11-Jun,OAK,,TEX,W7-0,GS-8,W(3-4),5,8,1,0,0,2,6,0,0,2.79,26,105,73,16,14,4,14,6,1,0,84,,,0,0,0,24,0,0,0,1,0,0,1.16,0.578,3.89,32.8,18,1t start tie,8t 3 out  a1
"Kazmir, S.",254,67,16-Jun,OAK,@,SDP,W6-5,GS-5,,4,5,5,3,2,1,6,1,0,2.84,21,81,57,14,10,8,6,5,0,0,52,,,1,0,0,20,0,0,0,0,0,1,1.05,-0.18,-0.84,13.25,9,1b start tie,5b 3 out tie
"Kazmir, S.",255,72,21-Jun,OAK,,LAA,W3-2,GS-8,W(4-4),4,7.1,6,1,1,3,6,0,0,2.7,29,112,79,25,9,10,10,5,2,0,65,,,0,0,0,26,0,0,0,2,0,0,1.16,0.403,3.38,23.3,16.33,1t start tie,8t 1-- 1 out  a3
"Kazmir, S.",256,77,27-Jun,OAK,,KCR,L2-3,GS-7,L(4-5),5,7,7,3,3,1,6,0,0,2.79,29,102,67,22,9,12,10,5,2,0,56,,,2,0,0,27,1,0,0,0,1,0,1.25,-0.062,0.41,13.35,10,1t start tie,7t 3 out  d1
"Kazmir, S.",257,82,2-Jul,OAK,,SEA,W4-0,GS-8,W(5-5),4,8,2,0,0,0,7,0,1,2.56,26,105,69,17,10,13,5,1,2,0,85,,,0,0,0,25,1,0,0,1,0,0,0.71,0.375,3.89,33,19,1t start tie,8t 3 out  a4
"Kazmir, S.",258,87,8-Jul,OAK,@,NYY,L4-5,GS-3,,5,3,2,1,0,1,4,0,0,2.49,12,50,32,10,6,2,5,4,0,0,56,,,0,0,0,11,1,0,0,0,0,1,0.93,0.053,0.43,12.35,7,1b start tie,3b 3 out  a1
"Kazmir, S.",259,93,18-Jul,OAK,,MIN,W3-2,GS-9,,9,8.1,5,1,1,1,5,0,0,2.38,28,112,75,18,12,11,11,2,3,0,73,,,0,0,0,27,1,0,0,3,0,0,1.31,0.492,3.71,20.75,12.33,1t start tie,9t -2- 1 out  a1
"Kazmir, S.",260,98,24-Jul,HOU,@,KCR,W4-0,GS-7,W(6-5),5,7,3,0,0,1,3,0,0,2.24,25,91,60,17,11,5,16,6,3,0,73,,,0,0,0,24,0,0,0,0,0,0,0.85,0.305,3.51,22.15,14,1b start tie,7b 3 out  a4
"Kazmir, S.",261,103,30-Jul,HOU,,LAA,W3-0,GS-8,,5,7.2,3,0,0,3,5,0,0,2.1,29,111,69,19,10,11,10,1,2,0,75,,,0,0,0,25,0,0,0,0,0,0,1.32,0.424,3.3,23.65,12.67,1t start tie,8t -23 2 out tie
"Kazmir, S.",262,109,5-Aug,HOU,@,TEX,L3-4,GS-6,L(6-6),5,5.2,6,4,1,2,5,1,0,2.08,26,100,66,18,9,9,10,8,0,0,50,,,1,0,0,22,0,0,0,1,1,2,0.68,-0.198,-1.38,13.55,9.67,1b start tie,6b 12- 2 out  d1
"Kazmir, S.",263,114,11-Aug,HOU,@,SFG,L1-3,GS-6,L(6-7),5,5.2,7,3,2,2,3,2,0,2.12,26,106,69,17,10,11,10,7,1,0,46,,,0,0,0,24,1,0,0,0,0,0,0.84,-0.072,-0.64,6.35,6.67,1b start tie,6b --3 2 out  d3
"Kazmir, S.",264,119,17-Aug,HOU,,TBR,L2-9,GS-6,L(6-8),5,5.1,9,6,6,3,6,1,0,2.43,27,109,73,19,12,8,10,6,1,0,29,,,0,0,0,23,0,0,0,1,1,0,0.76,-0.327,-3.25,1.2,5.33,1t start tie,6t 1-3 1 out  d3
"Kazmir, S.",265,124,22-Aug,HOU,,LAD,W3-1,GS-6,W(7-8),4,6,6,1,1,1,8,0,0,2.39,24,98,63,14,16,5,10,7,0,0,63,,,0,0,0,23,2,0,0,0,0,0,1.25,0.223,1.92,24.3,17,1t start tie,6t 3 out  a1
"Kazmir, S.",266,129,28-Aug,HOU,@,MIN,L0-3,GS-7,L(7-9),5,7,3,3,3,1,6,1,2,2.45,26,100,65,15,6,6,11,5,2,0,64,,,0,0,0,23,1,0,0,0,0,0,0.73,-0.074,0.51,16.95,10,1b start tie,7b 3 out  d3
"Kazmir, S.",267,134,2-Sep,HOU,,SEA,L3-8,GS-5,,4,4.1,7,3,2,2,5,0,0,2.5,22,98,62,13,11,5,10,4,1,0,42,,,1,0,0,20,3,0,0,0,0,0,1.18,-0.162,-1.08,7.35,7.33,1t start tie,5t 1-- 1 out tie
"Kazmir, S.",268,139,8-Sep,HOU,@,OAK,L0-4,GS-6,L(7-10),5,6,7,4,4,2,3,2,0,2.63,26,97,64,16,8,8,13,6,1,0,43,,,1,0,0,24,0,0,0,0,0,0,0.71,-0.132,-1.08,3.1,5,1b start tie,6b 3 out  d4
"Kazmir, S.",269,144,14-Sep,HOU,@,TEX,L3-5,GS-7,,5,7,5,3,2,1,4,1,1,2.63,28,93,58,15,10,10,12,3,5,0,60,,,0,0,0,26,1,0,0,0,0,1,1.29,-0.024,0.58,13.15,9,1b start a 1,7b 3 out tie
"Kazmir, S.",270,149,19-Sep,HOU,,OAK,W10-6,GS-4,,4,3.2,5,3,3,3,2,2,1,2.73,20,83,52,13,8,5,9,2,2,0,38,,,0,0,0,16,0,0,0,1,0,1,1.09,-0.172,-1.54,-0.35,2.67,1t start tie,4t 1-3 2 out tie
"Kazmir, S.",271,154,25-Sep,HOU,,TEX,L2-6,GS-4,L(7-11),5,3.2,10,6,6,1,1,1,1,2.97,22,88,55,13,5,7,12,1,1,0,17,,,0,0,0,20,4,1,0,0,0,0,0.68,-0.309,-4.37,-14.35,-1.33,1t start tie,4t -2- 2 out  d6
"Kazmir, S.",272,159,30-Sep,HOU,@,SEA,W7-6,GS-5,,4,4.1,7,6,4,2,3,2,1,3.1,22,64,42,12,4,7,9,5,0,0,30,,,0,0,0,19,0,0,0,1,0,0,1.12,-0.566,-4.2,-1.25,3.33,1b start tie,5b 1-- 1 out  d3
